symbol,interval,open,high,low,close,adjusted_close,volume
HSPX.LSE,d,722.75,728.5,722.75,728.5,591.0033,30007
HSPX.LSE,d,733.5,735.0,733.0,733.0,594.654,14113
HSPX.LSE,d,731.25,731.25,730.5,730.75,592.8287,60014
HSPX.LSE,d,732.75,733.25,730.25,733.25,594.8568,20020
HSPX.LSE,d,736.0,736.5,736.0,736.5,597.4934,13223
HSPX.LSE,d,732.5,740.75,732.5,740.75,600.9413,30281
HSPX.LSE,d,742.5,748.5,742.5,748.5,607.2285,2480
HSPX.LSE,d,739.0,739.0,738.25,738.25,598.9131,4737
HSPX.LSE,d,736.25,739.0,733.5,736.5,597.4934,244240
HSPX.LSE,d,745.5,745.5,744.75,744.75,604.1863,7200
HSPX.LSE,d,749.5,750.0,749.0,750.0,608.4454,33393
HSPX.LSE,d,746.75,746.75,745.75,746.5,605.606,36625
HSPX.LSE,d,751.25,755.5,751.25,755.5,612.9074,166075
HSPX.LSE,d,754.0,758.0,754.0,756.75,613.9214,36199
HSPX.LSE,d,758.75,763.0,758.75,759.5,616.1524,43439
HSPX.LSE,d,753.5,753.5,750.75,750.75,609.0539,67034
HSPX.LSE,d,749.75,749.75,747.0,747.0,606.0117,9648
HSPX.LSE,d,754.0,754.0,744.5,744.5,603.9835,117654
HSPX.LSE,d,741.75,747.25,741.5,741.5,601.5497,38463
HSPX.LSE,d,746.75,746.75,745.0,745.0,604.3891,126167
HSPX.LSE,d,748.75,749.0,747.75,747.75,606.6201,2850
HSPX.LSE,d,749.0,749.0,744.25,744.25,603.7807,109961
HSPX.LSE,d,751.75,752.0,748.0,752.0,610.068,62779
HSPX.LSE,d,755.75,759.0,755.0,758.0,614.9355,94069
HSPX.LSE,d,760.75,760.75,760.25,760.5,616.9637,381
HSPX.LSE,d,764.25,766.5,764.25,766.5,621.8312,6308
HSPX.LSE,d,763.75,763.75,757.75,757.75,614.7327,34027
HSPX.LSE,d,755.0,755.0,753.75,753.75,611.4877,54616
HSPX.LSE,d,746.25,748.75,746.25,747.0,606.0117,36974
HSPX.LSE,d,746.5,748.25,746.5,746.75,605.8088,41934
HSPX.LSE,d,752.0,755.5,751.0,754.75,612.2989,104936
HSPX.LSE,d,754.25,754.75,754.25,754.5,612.0961,66660
HSPX.LSE,d,753.5,753.5,753.0,753.25,611.082,1983
HSPX.LSE,d,749.5,749.75,749.5,749.75,608.2426,7228
HSPX.LSE,d,753.75,763.0,753.75,763.0,618.9918,22528
HSPX.LSE,d,765.0,767.25,765.0,767.25,622.4397,17851
HSPX.LSE,d,762.5,768.25,762.5,768.25,623.2509,56621
HSPX.LSE,d,765.75,765.75,762.5,762.5,618.5862,5487
HSPX.LSE,d,768.5,768.5,762.75,762.75,618.789,40581
HSPX.LSE,d,767.5,778.25,767.0,778.0,631.1607,40360
HSPX.LSE,d,779.75,787.5,779.75,787.0,638.4621,32159
HSPX.LSE,d,789.25,790.0,781.0,781.0,633.5945,131043
HSPX.LSE,d,785.5,785.5,784.75,785.5,637.2452,25
HSPX.LSE,d,784.0,787.5,784.0,784.0,636.0283,59036
HSPX.LSE,d,780.5,781.75,780.5,781.75,634.203,13373
HSPX.LSE,d,786.75,787.25,786.75,787.25,638.6649,292809
HSPX.LSE,d,787.0,789.25,786.5,788.5,639.679,45097
HSPX.LSE,d,795.5,796.0,790.25,790.25,641.0987,19304
HSPX.LSE,d,788.25,796.0,788.25,795.75,645.5606,32257
HSPX.LSE,d,792.25,801.25,792.25,801.25,650.0225,77676
HSPX.LSE,d,800.25,802.25,797.5,802.25,650.8338,62755
HSPX.LSE,d,801.75,809.0,801.75,808.75,656.107,6347
HSPX.LSE,d,807.75,808.0,807.75,808.0,655.4985,4955
HSPX.LSE,d,814.25,816.5,814.25,816.5,662.3943,13854
HSPX.LSE,d,819.5,824.0,819.5,823.5,668.0731,62836
HSPX.LSE,d,820.75,825.0,820.75,821.75,666.6534,34703
HSPX.LSE,d,826.5,826.5,823.5,823.5,668.0731,30722
HSPX.LSE,d,824.5,824.5,823.75,823.75,668.2759,32657
HSPX.LSE,d,822.5,822.5,819.75,819.75,665.0309,42607
HSPX.LSE,d,827.5,829.75,827.5,829.75,673.1435,10073
